Step:50,CE loss:9.791229128837585,Soft loss:6.413818621635437
Step:8150,CE loss:3.8259141182899477,Soft loss:0.39627326041460037
Step:8200,CE loss:3.8569091963768005,Soft loss:0.3925039014220238
Step:8250,CE loss:3.825675265789032,Soft loss:0.39581266850233077
Step:8300,CE loss:3.837659168243408,Soft loss:0.39642218589782713
Step:8350,CE loss:3.8476279854774473,Soft loss:0.3944976907968521
Step:8400,CE loss:3.8455418658256533,Soft loss:0.39206634819507596
Step:8450,CE loss:3.838507628440857,Soft loss:0.3956104084849358
Step:8500,CE loss:3.824412863254547,Soft loss:0.395575795173645
Step:8550,CE loss:3.8422540736198427,Soft loss:0.3887138131260872
Step:8600,CE loss:3.801361289024353,Soft loss:0.395519255399704
Step:8650,CE loss:3.8071055483818053,Soft loss:0.3927477851510048
Step:8700,CE loss:3.8315875720977783,Soft loss:0.3908061435818672
Step:8750,CE loss:3.8107483649253844,Soft loss:0.39174347281455996
Step:8800,CE loss:3.8228116178512574,Soft loss:0.3945132690668106
Step:8850,CE loss:3.8160188508033754,Soft loss:0.39294647723436354
Step:8900,CE loss:3.8209865140914916,Soft loss:0.3896601390838623
Step:8950,CE loss:3.82455365896225,Soft loss:0.39084585100412367
Step:9000,CE loss:3.813998420238495,Soft loss:0.38930619359016416
Step:9050,CE loss:3.811525220870972,Soft loss:0.3938698774576187
Step:9100,CE loss:3.82059725522995,Soft loss:0.396610287129879
Step:9150,CE loss:3.812224335670471,Soft loss:0.39629094034433365
Step:9200,CE loss:3.8203681755065917,Soft loss:0.38816451251506806
Step:9250,CE loss:3.8168700551986694,Soft loss:0.3949048963189125
Step:9300,CE loss:3.839555060863495,Soft loss:0.38741921991109846
Step:9350,CE loss:3.821803412437439,Soft loss:0.388534494638443
Step:9400,CE loss:3.8107397842407225,Soft loss:0.38385587483644484
Step:9450,CE loss:3.8040552711486817,Soft loss:0.3897229367494583
Step:9500,CE loss:3.838994839191437,Soft loss:0.38455635190010073
Step:9550,CE loss:3.8295778250694275,Soft loss:0.3902903965115547
Step:9600,CE loss:3.795096559524536,Soft loss:0.3866768556833267
Step:9650,CE loss:3.832894809246063,Soft loss:0.38558932691812514
Step:9700,CE loss:3.7956626796722412,Soft loss:0.3864268445968628
Step:9750,CE loss:3.8049166870117186,Soft loss:0.3905186223983765
Step:9800,CE loss:3.836668119430542,Soft loss:0.3896552848815918
Step:9850,CE loss:3.8151630544662476,Soft loss:0.38654653310775755
Step:9900,CE loss:3.8151224565505983,Soft loss:0.3862025675177574
Step:9950,CE loss:3.7971322536468506,Soft loss:0.39071118921041487
Step:10000,CE loss:3.8275762510299685,Soft loss:0.3905340069532394
Step:10050,CE loss:3.8231116414070128,Soft loss:0.38286623418331145
Step:10100,CE loss:3.8223452091217043,Soft loss:0.3747759237885475
Step:10150,CE loss:3.8195195746421815,Soft loss:0.3859627333283424
Step:10200,CE loss:3.8191475462913513,Soft loss:0.3828313317894936
Step:10250,CE loss:3.802998807430267,Soft loss:0.3808766734600067
Step:10300,CE loss:3.8005372643470765,Soft loss:0.3869477239251137
Step:10350,CE loss:3.8324896025657655,Soft loss:0.38119255304336547
Step:10400,CE loss:3.799787619113922,Soft loss:0.3767006292939186
Step:10450,CE loss:3.7894505071640014,Soft loss:0.3817598223686218
Step:10500,CE loss:3.8056985902786256,Soft loss:0.38182290256023405
Step:10550,CE loss:3.8134924221038817,Soft loss:0.38422153770923617
Step:10600,CE loss:3.8101294231414795,Soft loss:0.3810343587398529
Step:10650,CE loss:3.835201172828674,Soft loss:0.3842344135046005
Step:10700,CE loss:3.8123520374298097,Soft loss:0.37785658150911333
Step:10750,CE loss:3.806363415718079,Soft loss:0.38217623174190524
Step:10800,CE loss:3.804766585826874,Soft loss:0.38044231295585634
Step:10850,CE loss:3.801365337371826,Soft loss:0.3833144769072533
Step:10900,CE loss:3.78036967754364,Soft loss:0.38163910031318665
Step:10950,CE loss:3.81696284532547,Soft loss:0.38872252613306046
Step:11000,CE loss:3.8053624200820924,Soft loss:0.38073483258485796
Step:11050,CE loss:3.8093840861320496,Soft loss:0.37305003076791765
Step:11100,CE loss:3.811605634689331,Soft loss:0.38272649079561233
Step:11150,CE loss:3.8216539669036864,Soft loss:0.3767690932750702
Step:11200,CE loss:3.8106631112098692,Soft loss:0.3751442888379097
Step:11250,CE loss:3.795011818408966,Soft loss:0.38074254304170607
Step:11300,CE loss:3.7849923014640807,Soft loss:0.3738525596261024
Step:11350,CE loss:3.7939784717559815,Soft loss:0.37985940515995026
Step:11400,CE loss:3.8186242818832397,Soft loss:0.3795336174964905
Step:11450,CE loss:3.8146661257743837,Soft loss:0.37509860455989835
Step:11500,CE loss:3.8044366884231566,Soft loss:0.37248934179544446
Step:11550,CE loss:3.79861508846283,Soft loss:0.3780212900042534
Step:11600,CE loss:3.8010187196731566,Soft loss:0.3761709973216057
Step:11650,CE loss:3.802545487880707,Soft loss:0.3707510045170784
Step:11700,CE loss:3.8180943155288696,Soft loss:0.3737365409731865
Step:11750,CE loss:3.7765708923339845,Soft loss:0.37938918083906176
Step:11800,CE loss:3.7805257749557497,Soft loss:0.37664211124181746
Step:11850,CE loss:3.7791885709762574,Soft loss:0.37796694874763487
Step:11900,CE loss:3.793233406543732,Soft loss:0.37863136738538744
Step:11950,CE loss:3.7879206418991087,Soft loss:0.37845991402864454
Step:12000,CE loss:3.8026854300498965,Soft loss:0.37588433355093004
Step:12050,CE loss:3.814348123073578,Soft loss:0.3752539426088333
Step:12100,CE loss:3.800366599559784,Soft loss:0.3739878010749817
Step:12150,CE loss:3.796427597999573,Soft loss:0.37845968157052995
Step:12200,CE loss:3.791247625350952,Soft loss:0.37234433978796005
Step:12250,CE loss:3.785976686477661,Soft loss:0.3734669044613838
Step:12300,CE loss:3.8069531178474425,Soft loss:0.374505889415741
Step:12350,CE loss:3.808517107963562,Soft loss:0.3736589753627777
Step:12400,CE loss:3.7875067806243896,Soft loss:0.37674229860305786
